iter	Logloss
0	0.6621446695
1	0.6316778424
2	0.6071226628
3	0.5838077199
4	0.5660938936
5	0.5528948433
6	0.5398881481
7	0.530714132
8	0.5227948966
9	0.5150204294
10	0.5049275087
11	0.4994501968
12	0.4915549981
13	0.4861477275
14	0.4816848588
15	0.4760051815
16	0.4714391372
17	0.4677428286
18	0.4651724453
19	0.4626642533
20	0.4596798593
21	0.4561431976
22	0.4533721833
23	0.4500238907
24	0.448087987
25	0.4447740762
26	0.4425966181
27	0.4407633423
28	0.437896333
29	0.4354885782
30	0.4327333551
31	0.4306540827
32	0.4282854866
33	0.426705601
34	0.42503112
35	0.423726136
36	0.4218700709
37	0.4207331314
38	0.4197841656
39	0.418839003
40	0.4173324752
41	0.4166754193
42	0.4158574082
43	0.415053728
44	0.4142642872
45	0.4132003404
46	0.4119771727
47	0.4103711205
48	0.4093856127
49	0.4090177587
50	0.4082305999
51	0.4072083676
52	0.4063599911
53	0.4049717912
54	0.4044447772
55	0.4038235939
56	0.4031196815
57	0.4023690038
58	0.4013118725
59	0.4007264705
60	0.399559987
61	0.3990898703
62	0.3984850867
63	0.3980330736
64	0.3972381561
65	0.3966484945
66	0.3959942377
67	0.3942741173
68	0.3939081802
69	0.3934573233
70	0.393029773
71	0.3924068249
72	0.3919138276
73	0.3909939797
74	0.3903168729
75	0.389981788
76	0.389375544
77	0.3888624045
78	0.3883623787
79	0.3879145036
80	0.3864070326
81	0.3852281047
82	0.3848803321
83	0.3845910389
84	0.3840618038
85	0.3819274294
86	0.38059208
87	0.3802040534
88	0.379610132
89	0.37921958
90	0.3789818289
91	0.3777797467
92	0.3773035447
93	0.3759752846
94	0.375699957
95	0.3753838582
96	0.3749078692
97	0.3745448834
98	0.37422346
99	0.3739564388
100	0.3735041519
101	0.373130669
102	0.3727495492
103	0.3723764619
104	0.3719855753
105	0.3715574468
106	0.3704612177
107	0.369505345
108	0.3692098753
109	0.3690055322
110	0.3685161252
111	0.3680211806
112	0.3674766715
113	0.3667574851
114	0.3663115877
115	0.3654883129
116	0.365190622
117	0.3646111835
118	0.3641607526
119	0.3635395084
120	0.3630804364
121	0.3626014048
122	0.3623065739
123	0.361816102
124	0.3613087739
125	0.3609316703
126	0.3603661671
127	0.3597892845
128	0.359510397
129	0.3589371656
130	0.3586245658
131	0.3582019445
132	0.3575231642
133	0.35697187
134	0.356457483
135	0.3561180472
136	0.3558875376
137	0.3554285569
138	0.3551039995
139	0.354723975
140	0.3543143762
141	0.3539463397
142	0.3535374711
143	0.3531582377
144	0.3527434664
145	0.3522811692
146	0.3518010726
