iter	Logloss
0	0.6727876861
1	0.6575501974
2	0.6437529511
3	0.629545453
4	0.6149425349
5	0.6025089572
6	0.5923821398
7	0.5829028137
8	0.5742515746
9	0.5669051784
10	0.5601648642
11	0.5529415122
12	0.5467947128
13	0.5404495616
14	0.5359989126
15	0.5311048572
16	0.5263538455
17	0.5211179332
18	0.5170782875
19	0.5127459265
20	0.508882857
21	0.5048023537
22	0.5019448965
23	0.4985894548
24	0.4953049685
25	0.4924179166
26	0.4899497931
27	0.4869173679
28	0.4846517265
29	0.4818764236
30	0.4801090745
31	0.4778176432
32	0.4762324158
33	0.4742776485
34	0.4725745274
35	0.4708681105
36	0.4692242648
37	0.4676440851
38	0.4658218924
39	0.4635314671
40	0.4617675975
41	0.4606360922
42	0.4594837272
43	0.4580777309
44	0.4562189131
45	0.4550231326
46	0.4538120942
47	0.4528757203
48	0.4514663478
49	0.449651509
50	0.4483225145
51	0.4473632254
52	0.4466044337
53	0.4452652059
54	0.4444714201
55	0.4434914666
56	0.4429506188
57	0.4418155369
58	0.4410980659
59	0.4402678673
60	0.4394652317
61	0.4387040897
62	0.4377998221
63	0.4371246009
64	0.4365280607
65	0.4355543551
66	0.4348455212
67	0.4338231074
68	0.4330469378
69	0.4323198577
70	0.4316416512
71	0.4305186752
72	0.4300483056
73	0.4294512806
74	0.428646359
75	0.4281495084
76	0.4277323411
77	0.4272446734
78	0.426584304
79	0.4260895616
80	0.4249208404
81	0.4243133117
82	0.4236828401
83	0.4233821415
84	0.4226065363
85	0.4221684356
86	0.4218951729
87	0.4213940351
88	0.4204312819
89	0.4195706326
90	0.4190288387
91	0.4185296281
92	0.4178911514
93	0.4171786092
94	0.416805531
95	0.416376768
96	0.415960142
97	0.4156927051
98	0.4153356423
99	0.4150347322
100	0.4146164209
101	0.4143466172
102	0.414108478
103	0.413831004
104	0.4133709307
105	0.4129258416
106	0.4124237351
107	0.4118960434
108	0.4117413131
109	0.4110342892
110	0.4107102623
111	0.4101826316
112	0.409759885
113	0.4093283177
114	0.4089251806
115	0.4086731976
116	0.408453222
117	0.4080890951
118	0.4078379613
119	0.4074509112
120	0.4072696362
121	0.4067026215
122	0.4064596511
123	0.4061667387
124	0.4059477057
125	0.4055579741
126	0.4048570149
127	0.4043030002
128	0.4039772835
129	0.4036892641
130	0.403478782
131	0.4032452514
132	0.4027574881
133	0.4025960982
134	0.4022077438
135	0.4017232667
136	0.4014554682
137	0.4012143276
138	0.40101944
139	0.4006915856
140	0.4005185079
141	0.4002534878
142	0.3997663687
143	0.3996335764
144	0.3995237904
145	0.3992125311
146	0.3982556123
147	0.3979702935
148	0.3977231748
149	0.3975259028
150	0.3973192071
151	0.3971506438
152	0.3969653005
153	0.3967247123
154	0.3962773093
155	0.3960605579
156	0.3958641873
157	0.3956237763
158	0.39543756
159	0.3951042473
160	0.3947491329
161	0.3945987763
162	0.3943568554
163	0.39403817
164	0.3938863787
165	0.3936949427
166	0.3935313027
167	0.3933617341
168	0.3931404854
169	0.3930014829
170	0.3924273793
171	0.3922410949
172	0.3918850694
173	0.3917157005
174	0.39143017
175	0.3912452796
176	0.3909095223
177	0.3906032602
178	0.3903839264
179	0.3902322877
180	0.3901162453
181	0.3896605273
182	0.3895295342
183	0.3893495496
184	0.3891338831
185	0.3888138026
186	0.3881539543
187	0.3879989725
188	0.3878115432
189	0.3876120153
190	0.3874932804
191	0.3870970934
192	0.386955149
193	0.3867518139
194	0.3865521693
195	0.3863497566
196	0.3860702915
197	0.3859098479
198	0.3857692994
199	0.3855732902
200	0.3851271998
201	0.3848721526
202	0.3847500141
203	0.3845850488
204	0.3843881771
205	0.384071028
206	0.3839073447
207	0.3837450287
208	0.383600648
209	0.3833990927
210	0.383184416
211	0.3830531857
212	0.382847645
213	0.381957338
214	0.3817170537
215	0.3813639277
216	0.38125127
217	0.3809443883
218	0.3807955521
219	0.3806440565
220	0.3804665889
221	0.3803414841
222	0.3802441443
223	0.3800442146
224	0.3797684598
225	0.3795523979
226	0.3793621078
227	0.3791948208
228	0.3790189461
229	0.3789026893
230	0.3787308664
231	0.3785655934
232	0.3784324463
233	0.3782888967
234	0.3780384223
235	0.3778641542
236	0.3776583521
237	0.3775024301
238	0.3772799968
239	0.3764804387
240	0.3762636324
241	0.3760937587
242	0.3758525152
243	0.3757328333
244	0.375577216
245	0.3754543461
246	0.3751040783
247	0.3749169292
248	0.3747528624
249	0.3745022013
250	0.3743953768
251	0.3742384238
252	0.3740957772
253	0.3733968283
254	0.3731635705
255	0.3728049855
256	0.3726401679
257	0.3724404433
258	0.3723133254
259	0.372232947
260	0.3720831852
261	0.3718807466
262	0.3717130758
263	0.3715234048
264	0.3713111009
265	0.3707012623
266	0.3705472614
267	0.3703439882
268	0.370154742
269	0.3700640846
270	0.3699041209
271	0.3697098954
272	0.369528368
273	0.3693015457
274	0.3691412707
275	0.3689403282
276	0.3688423683
277	0.3687141378
278	0.3685319007
279	0.368341341
280	0.3682430357
281	0.3681449053
282	0.3679871111
283	0.367335963
284	0.367175175
285	0.3669905828
286	0.3664776001
287	0.3663546836
288	0.3661515432
289	0.3660267308
290	0.3658870269
291	0.3655965757
292	0.3654887984
293	0.3653228285
294	0.3651533333
295	0.3649119577
296	0.3647409695
297	0.3646597941
298	0.364530521
299	0.3643996176
300	0.3642368956
301	0.3641214216
302	0.3639498211
